:START_ID,:TYPE,:END_ID,properties:JSON
"ux.actioncomponent",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.actionpattern",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.chartseries",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.componentinstance",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.componentreference",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.dataconfig",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.errorconfig",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.experiencestate",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.layoutconfig",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.librarycomponent",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.librarysubview",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.stateaction",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.stateactiontemplate",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.statepattern",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.statetransition",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.subview",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.tablecolumn",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.transitiontemplate",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.uxapplication",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.uxlibrary",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.uxspec",BELONGS_TO_LAYER,"layer:ux","{}"
"ux.view",BELONGS_TO_LAYER,"layer:ux","{}"
"testing.contextvariation",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.coverageexclusion",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.coveragegap",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.coveragerequirement",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.coveragesummary",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.environmentfactor",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.inputpartitionselection",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.inputselection",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.inputspacepartition",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.outcomecategory",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.partitiondependency",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.partitionvalue",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.targetcoveragesummary",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.targetinputfield",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.testcasesketch",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.testcoveragemodel",BELONGS_TO_LAYER,"layer:testing","{}"
"testing.testcoveragetarget",BELONGS_TO_LAYER,"layer:testing","{}"
"technology.artifact",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.communicationnetwork",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.device",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.node",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.path",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.systemsoftware",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologycollaboration",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologyevent",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologyfunction",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologyinteraction",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologyinterface",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologyprocess",BELONGS_TO_LAYER,"layer:technology","{}"
"technology.technologyservice",BELONGS_TO_LAYER,"layer:technology","{}"
"security.accesscondition",BELONGS_TO_LAYER,"layer:security","{}"
"security.accountabilityrequirement",BELONGS_TO_LAYER,"layer:security","{}"
"security.actor",BELONGS_TO_LAYER,"layer:security","{}"
"security.auditconfig",BELONGS_TO_LAYER,"layer:security","{}"
"security.authenticationconfig",BELONGS_TO_LAYER,"layer:security","{}"
"security.bindingofduty",BELONGS_TO_LAYER,"layer:security","{}"
"security.condition",BELONGS_TO_LAYER,"layer:security","{}"
"security.countermeasure",BELONGS_TO_LAYER,"layer:security","{}"
"security.dataclassification",BELONGS_TO_LAYER,"layer:security","{}"
"security.delegation",BELONGS_TO_LAYER,"layer:security","{}"
"security.evidence",BELONGS_TO_LAYER,"layer:security","{}"
"security.fieldaccesscontrol",BELONGS_TO_LAYER,"layer:security","{}"
"security.informationentity",BELONGS_TO_LAYER,"layer:security","{}"
"security.informationright",BELONGS_TO_LAYER,"layer:security","{}"
"security.needtoknow",BELONGS_TO_LAYER,"layer:security","{}"
"security.passwordpolicy",BELONGS_TO_LAYER,"layer:security","{}"
"security.permission",BELONGS_TO_LAYER,"layer:security","{}"
"security.policyaction",BELONGS_TO_LAYER,"layer:security","{}"
"security.policyrule",BELONGS_TO_LAYER,"layer:security","{}"
"security.resourceoperation",BELONGS_TO_LAYER,"layer:security","{}"
"security.retentionpolicy",BELONGS_TO_LAYER,"layer:security","{}"
"security.role",BELONGS_TO_LAYER,"layer:security","{}"
"security.secureresource",BELONGS_TO_LAYER,"layer:security","{}"
"security.securityconstraints",BELONGS_TO_LAYER,"layer:security","{}"
"security.securitymodel",BELONGS_TO_LAYER,"layer:security","{}"
"security.securitypolicy",BELONGS_TO_LAYER,"layer:security","{}"
"security.separationofduty",BELONGS_TO_LAYER,"layer:security","{}"
"security.threat",BELONGS_TO_LAYER,"layer:security","{}"
"security.validationrule",BELONGS_TO_LAYER,"layer:security","{}"
"navigation.breadcrumbconfig",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.contextvariable",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.flowstep",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.guardaction",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.guardcondition",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.navigationflow",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.navigationgraph",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.navigationguard",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.navigationtransition",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.route",BELONGS_TO_LAYER,"layer:navigation","{}"
"navigation.routemeta",BELONGS_TO_LAYER,"layer:navigation","{}"
"motivation.assessment",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.constraint",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.driver",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.goal",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.meaning",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.outcome",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.principle",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.requirement",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.stakeholder",BELONGS_TO_LAYER,"layer:motivation","{}"
"motivation.value",BELONGS_TO_LAYER,"layer:motivation","{}"
"data-store.accesspattern",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.collection",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.database",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.eventhandler",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.field",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.index",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.namespace",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.retentionpolicy",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.storedlogic",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.validationrule",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-store.view",BELONGS_TO_LAYER,"layer:data-store","{}"
"data-model.arrayschema",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.jsonschema",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.numericschema",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.objectschema",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.reference",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.schemacomposition",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.schemadefinition",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.schemaproperty",BELONGS_TO_LAYER,"layer:data-model","{}"
"data-model.stringschema",BELONGS_TO_LAYER,"layer:data-model","{}"
"business.businessactor",BELONGS_TO_LAYER,"layer:business","{}"
"business.businesscollaboration",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessevent",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessfunction",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessinteraction",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessinterface",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessobject",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessprocess",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessrole",BELONGS_TO_LAYER,"layer:business","{}"
"business.businessservice",BELONGS_TO_LAYER,"layer:business","{}"
"business.contract",BELONGS_TO_LAYER,"layer:business","{}"
"business.product",BELONGS_TO_LAYER,"layer:business","{}"
"business.representation",BELONGS_TO_LAYER,"layer:business","{}"
"application.applicationcollaboration",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationcomponent",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationevent",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationfunction",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationinteraction",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationinterface",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationprocess",BELONGS_TO_LAYER,"layer:application","{}"
"application.applicationservice",BELONGS_TO_LAYER,"layer:application","{}"
"application.dataobject",BELONGS_TO_LAYER,"layer:application","{}"
"apm.exporterconfig",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.instrumentationconfig",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.instrumentationscope",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.logconfiguration",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.logprocessor",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.logrecord",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.metricconfiguration",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.metricinstrument",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.resource",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.span",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.spanevent",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.spanlink",BELONGS_TO_LAYER,"layer:apm","{}"
"apm.traceconfiguration",BELONGS_TO_LAYER,"layer:apm","{}"
"api.callback",BELONGS_TO_LAYER,"layer:api","{}"
"api.components",BELONGS_TO_LAYER,"layer:api","{}"
"api.contact",BELONGS_TO_LAYER,"layer:api","{}"
"api.encoding",BELONGS_TO_LAYER,"layer:api","{}"
"api.example",BELONGS_TO_LAYER,"layer:api","{}"
"api.externaldocumentation",BELONGS_TO_LAYER,"layer:api","{}"
"api.header",BELONGS_TO_LAYER,"layer:api","{}"
"api.info",BELONGS_TO_LAYER,"layer:api","{}"
"api.license",BELONGS_TO_LAYER,"layer:api","{}"
"api.link",BELONGS_TO_LAYER,"layer:api","{}"
"api.mediatype",BELONGS_TO_LAYER,"layer:api","{}"
"api.oauthflow",BELONGS_TO_LAYER,"layer:api","{}"
"api.oauthflows",BELONGS_TO_LAYER,"layer:api","{}"
"api.openapidocument",BELONGS_TO_LAYER,"layer:api","{}"
"api.operation",BELONGS_TO_LAYER,"layer:api","{}"
"api.parameter",BELONGS_TO_LAYER,"layer:api","{}"
"api.pathitem",BELONGS_TO_LAYER,"layer:api","{}"
"api.paths",BELONGS_TO_LAYER,"layer:api","{}"
